userId,churn,gender_Male,gender_Female,free_flag,paid_flag,free_paid_flag,avg_songs_persession,num_session,avg_days_login_permonth,avg_thumbsdown_permonth,avg_thumbsup_permonth,avg_playlist_permonth,avg_addfriend_permonth,avg_rollad_permonth,avg_help_permonth,avg_error_permonth,regDay,avg_session_hour
200010,0,0,1,1,0,0,39.5,6,2.5,7.0,14.0,5.0,8.0,17.0,1.0,1.0,38.142488425925926,1.5394623845408271E12
64,0,1,0,1,0,0,15.333333333333334,3,1.5,"",4.0,1.0,5.0,1.0,1.0,"",49.15244212962963,1.5409326139640437E12
115,0,0,1,0,0,1,173.7,10,7.0,12.0,46.0,21.0,19.5,11.0,4.5,1.5,74.43959490740741,1.5409406841726975E12
82,0,0,1,0,0,1,106.5625,17,10.0,10.0,42.0,26.5,14.5,7.5,4.5,2.0,74.40032407407408,1.5410691908143706E12
77,0,0,1,0,0,1,149.57142857142858,8,6.0,2.0,23.0,11.5,4.0,6.0,2.5,"",65.07229166666667,1.5401209038226135E12
89,0,1,0,0,0,1,133.4,5,3.0,3.0,15.0,6.0,7.0,13.0,2.5,"",69.41987268518518,1.5404570025043408E12
200004,0,1,0,0,1,0,67.0,28,13.0,27.0,42.5,33.5,10.5,1.0,4.5,1.0,65.45400462962964,1.5409426618930806E12
300005,0,0,1,0,0,1,52.0,6,3.0,2.0,17.5,4.5,4.0,2.0,2.0,1.0,157.05546296296296,1.5403944399493992E12
45,0,0,1,0,0,1,98.93333333333334,16,10.5,6.5,33.5,21.5,11.0,6.5,2.5,"",81.08318287037036,1.5409644823980212E12
57,0,1,0,1,0,0,46.0,2,1.0,2.0,1.5,"","",6.0,1.0,"",87.79336805555556,1.5411869318952769E12
300020,0,0,1,0,1,0,80.66666666666667,3,1.5,1.0,9.0,10.0,8.0,"",1.0,2.0,48.58732638888889,1.5405529634073464E12
63,0,0,1,1,0,0,87.0,1,1.0,3.0,6.0,1.0,"",5.0,"","",39.33960648148148,1.5409846979549617E12
27,0,1,0,1,0,0,27.5,9,4.0,2.0,4.0,2.0,3.5,10.5,1.0,"",102.59481481481481,1.5405567989578975E12
61,0,1,0,0,0,1,85.36842105263158,19,11.0,5.5,39.0,25.0,13.0,24.5,5.0,1.0,72.211875,1.5405939536432576E12
114,0,1,0,0,0,1,80.75,17,9.0,6.0,37.0,17.0,6.5,4.5,5.0,2.0,71.39887731481481,1.541156981611903E12
33,0,1,0,0,1,0,104.75,12,6.0,4.5,39.5,16.5,15.5,1.0,3.5,1.0,162.89256944444443,1.5413705188485234E12
116,0,0,1,1,0,0,21.0,3,1.5,"",1.0,2.0,2.0,1.5,"","",93.96927083333334,1.5417647650674941E12
32,1,1,0,0,0,1,26.666666666666668,3,3.0,1.0,7.0,7.0,"",3.0,"","",21.590891203703702,1.5388200748850078E12
101,1,1,0,0,0,1,179.7,10,13.0,16.0,86.0,61.0,29.0,8.0,12.0,3.0,53.9659375,1.5389795716191821E12
11,0,0,1,0,0,1,40.4375,16,8.0,4.5,20.0,10.0,3.0,19.5,1.5,1.0,124.47825231481481,1.540953869147329E12
151,0,1,0,0,1,0,138.0,1,1.0,1.0,4.0,2.0,3.0,"",1.0,"",42.57099537037037,1.5415405758032659E12
200015,1,1,0,1,0,0,25.8,11,5.0,10.0,10.0,6.5,2.0,11.0,1.0,1.0,87.6291550925926,1.5398545265367422E12
300025,0,1,0,0,0,1,81.0625,16,9.5,6.5,69.5,21.0,8.5,1.0,3.0,2.0,76.6900462962963,1.540858835176493E12
79,0,1,0,0,0,1,50.2,5,2.0,2.0,6.5,3.0,3.0,8.5,"","",76.06190972222223,1.5418793047035393E12
100007,1,0,1,0,1,0,47.0,9,4.5,3.0,9.5,4.5,8.5,2.5,1.5,"",115.38761574074074,1.5409863302846128E12
26,0,1,0,0,0,1,31.875,8,4.0,1.0,6.0,4.0,3.0,11.0,2.0,"",77.53899305555555,1.5415876430342998E12
109,0,0,1,0,0,1,59.75,12,6.0,2.5,11.5,8.0,6.0,3.5,5.0,"",87.99846064814815,1.5406834807030198E12
123,0,1,0,1,0,0,18.75,8,3.5,1.0,5.0,4.0,5.0,7.0,1.0,"",100.19100694444444,1.5418281129654497E12
100011,1,1,0,1,0,0,11.0,1,1.0,1.0,"",2.0,"",2.0,"","",5.165115740740741,1.5384166576626606E12
100019,1,1,0,1,0,0,31.0,2,2.0,1.0,1.0,2.0,2.0,11.0,1.0,"",31.19925925925926,1.5388885755329597E12
100024,1,1,0,1,0,0,22.0,1,1.0,"",5.0,"","",3.0,"","",27.22165509259259,1.5386946105861326E12
144,0,1,0,1,0,0,49.0,3,1.5,1.0,4.0,1.5,2.0,4.5,"","",98.94381944444444,1.540568925066307E12
107,0,0,1,1,0,0,61.5,4,2.5,2.0,7.0,5.0,2.0,9.5,"","",74.21925925925926,1.5406575037937354E12
110,0,1,0,1,0,0,35.6,5,2.5,2.0,7.0,3.0,7.0,8.5,"","",68.3830787037037,1.5412647438740044E12
300007,1,1,0,0,1,0,111.0,1,2.0,1.0,11.0,4.0,4.0,2.0,1.0,"",11.553703703703704,1.5387049105895845E12
43,0,0,1,1,0,0,44.25,4,2.0,2.0,6.0,2.0,3.0,9.0,"","",65.93375,1.5408286227454688E12
